기업명	기업코드	ESG등급	환경	사회	지배구조	평가년도
AJ네트웍스	95570	3	1	3	3	2020
AJ네트웍스	95570	3	1	3	3	2021
AJ네트웍스	95570	4	2	4	4	2022
AJ네트웍스	95570	4	2	5	4	2023
AJ네트웍스	95570	4	2	5	4	2024
AK홀딩스	6840	4	2	4	4	2020
AK홀딩스	6840	4	3	4	4	2021
AK홀딩스	6840	4	3	5	3	2022
AK홀딩스	6840	5	5	6	4	2023
AK홀딩스	6840	5	5	6	4	2024
AP시스템	265520	1	1	1	2	2021
AP시스템	265520	1	1	2	2	2022
BGF	27410	4	3	5	4	2020
BGF	27410	5	5	6	5	2021
BGF	27410	4	5	6	3	2022
BGF	27410	5	5	6	4	2023
BGF	27410	5	5	6	4	2024
BGF리테일	282330	5	4	4	5	2020
BGF리테일	282330	5	5	6	5	2021
BGF리테일	282330	5	5	6	5	2022
BGF리테일	282330	5	5	6	5	2023
BGF리테일	282330	5	5	6	5	2024
BGF에코머티리얼즈	126600	3	3	3	3	2024
BYC	1460	3	1	3	4	2020
BYC	1460	3	1	3	4	2021
BYC	1460	1	1	1	1	2022
BYC	1460	1	1	1	1	2023
BYC	1460	1	1	1	2	2024
CJ	1040	5	3	5	5	2020
CJ	1040	5	4	6	5	2021
CJ	1040	4	4	5	4	2022
CJ	1040	5	5	6	4	2023
CJ	1040	5	5	6	5	2024
CJ CGV	79160	5	3	5	5	2020
CJ CGV	79160	5	3	5	5	2021
CJ CGV	79160	4	3	4	4	2022
CJ CGV	79160	5	5	6	4	2023
CJ CGV	79160	5	6	6	5	2024
CJ ENM	35760	4	2	5	5	2020
CJ ENM	35760	5	3	6	5	2021
CJ ENM	35760	4	4	5	3	2022
CJ ENM	35760	4	4	6	3	2023
CJ ENM	35760	5	4	6	4	2024
CJ 바이오사이언스	311690	2	1	2	3	2023
CJ 바이오사이언스	311690	4	2	4	4	2024
CJ대한통운	120	5	5	3	5	2020
CJ대한통운	120	5	5	6	5	2021
CJ대한통운	120	4	4	6	3	2022
CJ대한통운	120	5	5	6	4	2023
CJ대한통운	120	5	5	6	4	2024
CJ씨푸드	11150	3	2	4	4	2020
CJ씨푸드	11150	3	2	4	4	2021
CJ씨푸드	11150	3	2	3	3	2022
CJ씨푸드	11150	4	4	5	3	2023
CJ씨푸드	11150	4	5	5	3	2024
CJ제일제당	97950	5	5	6	5	2020
CJ제일제당	97950	5	5	6	5	2021
CJ제일제당	97950	5	5	5	4	2022
CJ제일제당	97950	5	5	6	5	2023
CJ제일제당	97950	5	5	5	4	2024
CJ프레시웨이	51500	5	3	6	5	2020
CJ프레시웨이	51500	5	3	5	5	2021
CJ프레시웨이	51500	5	3	5	5	2022
CJ프레시웨이	51500	5	4	6	5	2023
CJ프레시웨이	51500	5	5	5	4	2024
CMG제약	58820	2	1	3	2	2020
CMG제약	58820	2	1	2	2	2021
